id,text,label
20,“He’s lived here for about three years ” Damien Pettit said. “He’s one of our neighbors. I’ve said hello in passing more than 50  60 occasions. He has two young kids. He was a very nice guy.”  Sure he was. Likely cursing you on more than 50  60 occasions.,0
21,John Fox saying" the other guys get paid too" is right on . The Giants made some good trap blocks to spring runs  of 47  16 and 14 yards. In addition  the Bronco linebacker hit the wrong gap on these runs. Otherwise  the Giants gained 71 yards on 29 carries for 2.4 ypc. Eli passed for only 128 yards and the defense only gave up 13 points. They have not regressed. Their margin for error is razor thin because of an inept offense. It would also be nice if the kicker would get over his slump.,0
22,What an idiot Tuck is!  "Just get an income tax on the books" - a casual confiscation of the income of hard-working Alaskans.  NO WAY,1
23,You_want_certainty._You_can't_handle_the_truth.,0
24,Yes its beyond pathetic  most of the media in this country are desperate lefties who appear to be angling  for a job on the CBC. Trump gave us Key Stone  a thank you would suffice !!!,1
25,Junior seems to be taking his cue from Kathleen Wynne.  Two incredulously incompetent politicians.,1
26,Is there a remedy for stupid? Judging by the willfully blind ignorance and jingoistic hatred displayed by many of the comments  including a number which look to originate from robots  it looks to be something like "viva la revolution"  something which is not likely to end well for any of us.,1
27,People are so worried about purported Russian influence on Trump. They should be far  far  far more worried about China's influence on Trudeau. The Globe us letting us down on that in a big way. And is it true that Chrystia Freeland's father is a canola farmer?,0
28,His family reported him missing on August 11th.  Obviously they think he is overdue.  How many days would you wait if someone in your family didn't come back when anticipated?,0
29,Lol. But you'll vote for the wife of a rapist/sex fiend.,1
30,When you come from a totalitarian society that is very tribal and that tribalism is expressed through the glue of religion   a free secular society like that in the West is viewed quite differently.  That is especially so when the prescripts of that religion deny many of the basic human rights that we in the West take for granted.  Hence we are subject to these incomprehensible terrorist attacks both thru new immigrants from those cultures  and from homegrown terrorists who romantizes  the whiff of 7th century cultures.  Yet here in the West  we are being brainwashed by those who profess the benefits of open borders ( but not open societies ) by allowing these alien cultures to profusely populate our lands.  Its insidious and subversive and is now  accompanied by suppression of free speech  as we are now seeing thrown at us by the MSM and their bosses in the wealthy 1 %.  it must be countered and snuffed out. Else our basic human rights will be eroded from within,0
31,People died in Benghazi.  The people at the embassy stated they asked for help on several occasions and were denied.  There was actual evidence to open an investigation.  The Russian investigation is based off nothing.  Please list the evidence you have since you're so adamant about it.,0
32,Blaming "elites" is clearly wrong headed. Trump did it and now with his temperament he is the top "elite" and could  start  a nuclear war  a war with China  trade wars. Trump's crazy thinking as the"elite" is based on "Make America Great ". "No longer trust our media" you are an idiot  I am quite certain that you have not read a newspaper in your life.,1
33,If you think the presence of a "treatment center" means anything  you have never been around anyone caught in the web of heroin.  Also suboxone is often diverted and resold on the street.  Not very likely someone shooting dope in plain view in an Ace bathroom is participating in a recovery program.,0
34,Hahahahahahaha!!! Now we're getting a lecture about civil conversation from the unnamed person from Chugiak? Isn't this the same individual recently restricted from civil comments because of a lack of civil comments? Hahahahahahahaha!!!,0
35,Our Senate... the chamber of sober second thoughts....  Our Senators should be distinguished... respected.. wise... refined...  Instead  this 47-year-old Senator has sex with a teenager  and it looks like his fellow senators are pretty much OK with that.... no real harm... she was of legal age... who wouldn't have sex with a cute little sixteen-year-old given the opportunity? Our Senate is an embarrassment....   shameful... a disgraceful group of leeches...,1
36,Thank you J. Frank. I think they may be saying that they admire that he is a strong leader  stronger than Obama  but I hear no praise for the system Putin is representative of.,0
37,The only train wreck of consequence   lost the  American election ignominiously  on November 8  2016.  The caboose on that train carried  the likes of  Globe editorialists who are now swooning hysterically because the Trump administration is beginning to carry out its clearly outlined agenda.,0
38,Global warming enriches the elites.,0
39,Just how is this story enhanced by taking pot shots at Gaga? It's not  of course. It's lessened  and that's a damn shame.,1
40,I've just spent about 15 minutes laughing out loud after reading these gems  now forever known as trudeaueulogies:  https://twitter.com/hashtag/trudeaueulogies  "We mourn the death of Vlad the Impaler  who spearheaded initiatives which touched the hearts of millions."  "As we mourn Emperor Caligula  let us always remember his steadfast devotion to Senate reform."  "Bin Laden was charismatic leader who helped revolutionize airport security in his lifetime."  "OSU student Abdul Razak Ali Artan will be forever remembered for his love of automobiles and kitchen cutlery",0
41,All we need now is Craig Medred to chime in to complete the ADN/McCandless/Angry Condescending Alaskan trifecta.,0
42,Yes  by all means let's go bankrupt doing it. I'm sure the world will appreciate it.  We have so much Aloha.  Kind of stupid but lots and lots of Aloha.,1
43,You have your head up your butt so far that bump on your throat is your nose.,1
44,The two walked out among the palms.,0
45,Trumps is picking a legal fight with the supreme court  much like Harper did.   ... He must be getting desperate for a win.,0
46,Uhhhhh  by law property tax information is a matter of public record. Can't be kept hidden  out of public view.  Go to the state's website below and you can find anyone's property tax via their address.  http://qpublic9.qpublic.net/hi_hawaii_search.php,0
47,She's a bald faced liar and an embarrassment to the Republican party and Alaska.,1
48,A fool and his money...,1
49,Not sure if you're trolling  or completely oblivious. Either way  see you later.,0
50,Not enough.  This sends the wrong message to scum like the five degenerates in Palmer.  Don't deal with these creeps.,1
51,More homeless crime?,0
52,me too..they made this poor woman bear the repercussions while the pussy bosses enjoy somewhere.,1
53,Santa Rosa High School is well known for its award-winning ArtQuest program.,0
54,Many is how many?  Good luck with US tuition costs and med insurance.  Bye,0
55,Chinatown is 96817  not 96813.  The bikes there don't seem to get much use--let's see a breakdown of those figures.,0
56,Can't turn it on  because it would probably knockout all microwave and wifi transmissions.   Think of it like an EMP blast of sorts.  Probably better to put it near Midway.,0
57,Falsely accuse the president of collusion?  Your head is obviously buried very deep.  The Donald is crooked as hell and is going down.  Hell the Donald might be gone by thanksgiving.    Some day you realize that Hillary is gone and the true damage being done is by republicans who always blow up the deficit while reducing anything good government does.  A pity that republicans are no longer like Eisenhower.  Our national security has been compromised by having a moron in charge.  A moron who makes GW look smart.  Now that is  an accomplishment.,1
58,I'm very proud I voted for President Trump.  You can't fix stupid  anyone who thinks illegals are a benefit to America is a clueless delusional idiot.,1
59,Still not cost effective... 200k to save 32 K  I changed out the bulbs in my hose... Cost  was 35 bucks a bulb vs a regular 100W $2.50 bulb ...    I will never live long enough to see any savings in my electric bill.. I can't measure the saving because it is so small at the residential house hold level ...   In reality the actual LED light and fixture  plus labor for 3 workers  (at $150/hour two changing the bulb + flagging traffic?) and equipment costs really run the cost up.  Est cost of 1 LED light and fixture $100 each  2 hours labor $300 Equipment cost $20 dollars  per change out.  I will bet the total cost is close to $400+ for everything  That is why the Mayor is talking about millions.,0
60,Of course  Ms. Freeland does not have a Nazi past; that was her grandfather's.  (Canada; the mouse that roared!),0
61,More like the rats all jumping off the ship!,0
62,It's not so much whether it's mega-farms (though guessing there are lots of American farms bigger than Canada's) as the stuff that's injected into the animals.,0
63,Kid's gotta tough dad!,0
64,daycare needs to be covered by society. All of society benefits from these kids. Especially those that chose not to have kids. I'd rather see us making it affordable to have more kids rather than importing people from violent cultures.,0
65,This can take another 1-2 minutes (in my video it is cuttet!)  as some systeminformations needs to be updated first.,0
66,You're a pathetic troll. Mute.,1
67,"I disagree with is the assumption that the proposed rule is based merely on evidence-free wishful thinking by ignorant government do-gooders."  - how many cases will glove wearing prevent? And by "prevent " I mean take care of the problem of norovirus  itself?  If the answer is anywhere close to "I don't know  but let's implement it  anyway " then you don't have much with which to disagree. . The analysis from the food safety publication that you provided is a great example: they  too  would no doubt champion proper hand-washing techniques  as that would solve the entire issue you describe in its citation.,0
68,Andy knocked it out of the Park with his last line  he nailed the Prince.,0
69,And of course he is lying. The GOP has said the same thing time and again only to be proven as charlatans and liars. Laffer is con man like Trump.,1
70,Your whining is infantile.,1
71,you know rapes and brutalizes a woman and,0
72,@ Hanabata Days Would POTUS Trump...or anyone leave their SNN on the document? "The conclusion is obvious."...how idiotic is that...oh wait!,1
73,which grew out of disturbed social conditions after the last French war  amidst general distress,0
74,Shut up nerd. You try too hard.,1
75,Why not set aside a special "Panhandlers Park" as the only place where to ply their trade?  The city would require them to buy a license and wear it around their neck for viewing.  The fee's would go to provide porta potties on site and policing.  The public could wander through and donate to the panhandler of their choice.  It could become a major tourist attraction.,0
76,Suddenly Sabbath found themselves both unsure of their musical direction and labeled as has-beens.,0
77,Thanks for the link.  I have downloaded it and will use it to organize a group.  It goes without saying that I will communicate with representatives from both parties.,0
78,He is morose and sullen  and  like Dostoyevsky  suffers from epilepsy.,0
79,“...they’re using airspace available to all of us to make money.”  This has to be one of the most moronic statements possible. Yes  the airspace is available to all of us. All of us who are willing to invest hundreds of millions of dollars and assume the financial risk are free to start our own airline. Deregulation lowered ticket prices dramatically.  If you think air travel is expensive now  or that airline companies are unpleasant to do business with  just imagine how "affordable" and "friendly" they would be if micromanaged by government bureaucrats.,0
80,are you serious?  they are renter receiving home care services?  wow  this is worse than Conway in spinning the facts.  first and foremost is the need to protect the patients in such care homes; if not regulated  many can suffer unnecessarily and care would be substandard.  we have seen such scenarios with legal care homes  so what makes you believe this would not happen with unregulated care homes  while you claim you are smart but really what you are saying is really stupid.,1
81,you notion of trump is based on ignorance and hate and stupidity.. china IS a terrible country  no freedom  executions for stupid things  no free speech etc  wake up idiot,1
82,"This elementary entry level grade is simply embarasing."  Bwa ha ha!  In the same sentence an elementary grade level spelling error   while complaining about entry level elementary thinking!  Having these comments to read is delightful!!!,0
83,Megalomaniac + Pathological liar.  The world has seen enough of these insane despots bringing death  destruction  and financial ruin to humanity.  All aided and abetted by financial manipulators working the system they created for maximum personal wealth without ever getting their own hands dirty.  This is the best and brightest offered by the Republican Party?  The Party is imploding from the same ideological insanity as their proffered candidate(s).,1
84,And you are proud of dementia Joe that can't even finish a sentence and is ruining our country? You're a special kind of stupid.,1
85,get a aircraft carrier to pull up to the beach and load it up for dinner!,0
86,"Bisexual."  That is how homosexualists use labels to divert the discussion away from the issue.       Call it what you want  but engaging in homosexual acts - or any kind of behavior - is the issue and the sin.  Again  there weren't more "gay" or "bisexual" men in Ancient Greece's pederast culture: they all learned how to engage in same-sex acts.,1
87,She coughed heavily and then sighed.,0
88,Economics 101 makes the same point; increases in the income (wage raises  income tax reduction or subsidies) at the lower pay scale goes straight back into the economy that is people will spend it.,0
89,It is obvious you did not read what I actually wrote and instead chose to construct a straw man from your own imagination to punt at.  Where exactly and in what exact words did the Holy Father say “quite clearly and unambiguously  that there are cases where it is perfectly proper for the divorced and remarried to receive the Eucharist”?  The question of personal impact is impertinent and a red herring.  I am not facing capital punishment  but I maintain an interest in that topic. I am not planning on procuring an abortion  but I maintain an interest in that topic.,0
90,I deprecate the facile use of the term "fascism".  It shows a complete lack of any understanding of the context surrounding the rise of fascism in the 20th century.,0
91,What a self righteous smug snowflake.  When she earned her degree she should have learned some class.,1
92,Productions of the opera have been rare.,0
93,The losing team in overtime or shootout is awarded only one.,0
94,I subscribe to the Wall Street Journal and note that it does not allow anonymous comments.  I also note the comments section seems to be more civil than most and wonder if the lack of anonymity and writing something with one's name on it may reduce the ad hominem attacks.  Has there been any thought given to removing the anonymous feature completely?,0
95,Interesting that the potential savior of the Democratic party will not run as a Democrat for the Senate in 2018.  "Despite a push by some Democrats that he fully commit to the party  Sen. Bernie Sanders of Vermont confirmed Sunday night that he will remain an Independent as he seeks re-election to the U.S. Senate in 2018.",0
96,In one case  the Crown is the plaintiff.  In the other  the defendant.  The common link is a PM too afraid to go to court  and claims this vice as a virtue.,0
97,"the NFL would be a "goldmine" in Toronto "  NFL interest in Toronto is actually down both in amount going to Bills games and in watching on TV.  There isn't the interest.,0
98,Last week I joined NFLUSTV .COM It’s the cheapest online option on web this year. Just $29/yearly and you can watch any Tv channel. Including NFL this year I am sure you will watch that game online from NFLUSTV .COM ( “NFLUSTV .COM” Search by Google),0
99,Putin will invite Trump and Bibi to Crimea (Yalta) to divide the world. Just like they did in February 1945. King wasnt invited because he was anti-communist and many believed anti-semite. This time Justin will be invited for the entertainment value. During the evening time he can sing and dance along the Black Sea shores. Justin will extol the virtues of diversity and having a good hairdresser to prevent split ends.,0
100,Stupid is as stupid does. Did no one have a rational thought when they came up with this?,1
101,With all the putrid stench that surrounds him  the floating bloated spawned out salmon we know as Trump........must go. ITMFA,1
102,You must be a scatologist. I have never heard such an expert on turds,0
103,The quick quip: If there are two things people hate  it's sprawl and density.,0
104,Disregarding the environment is far worse.,0
105,"Honest to God  what if I don't know?"  If you don't know by now  Lisa  then either you're as big of a liar as Clinton and Trump  or you're stupid beyond belief.,1
106,What we have with Trump is a demonstrated lifetime of sleazy nasty sexist  self absorbed behavior. Trump is clearly absorbed with sexual conquest  wanted by his victims or not. He does not care. The Clintons are saints compared to this man While Bill has his sexual issues  Hillary is the candidate and she has stuck by her man  deserving or not. That used to be considered a virtue among Christians  you know marriage as a lifetime commitment. Apparently at least with some evangelicals  marriage is now a one way street with the man calmly all the shots  rotten nasty behavior or not. It is like a time zone  back to when women were considered property by rich powerful men.,1
107,It's exactly the same as a gift card (except much harder to use up). Companies should have no right to eliminate the points without offering compensation that can be reasonably used.   I tried to book seven different flights in during the last 6 weeks to use up AM points. Could not do any of them  despite a huge amount of flexibility from me. I shouldn't have had to be in a panic to use the points  but if obligated to use them or lose them  I should be able to reasonably use them!,0
108,So Lynch will help the Broncos win SB? (eyes rolled..)  and what makes you think that Siemien cannot win SB?  What a dumb comment!!!,1
109,Does that mean 43% were Republican?,0
110,You actually aren't worthy of any reply because you're too deluded to participate in an intelligent  adult conversation.   What makes you think I got a "watered down" retirement?   I'm not a total parasite like some  and I did other things at other times in my life.   Your hate is going to consume you; it merely entertains me.,0
111,It is pandering to the folks who believe those articles.,0
112,the morons are libs like you yellin   wealth is a great goal  it means hard work  prosperity  and a booming economy loser,1
113,NEDCO keeps on rocking. I wonder what they'll do next. I'm sure it will be great.,0
114,Kick all trudeaus to the curb  they're all thieves.,1
115,Everybody  regardless of party affiliation  should be behind the move to make Congress and those on capital hill subject to the same health insurance as the citizens. The fact that they are afforded such special privileges places them above the average citizen and distances them from reality.,0
116,Silly position. Clearly you don't understand the Sacraments.   You believe in a form of Donatism:  the spiritual standing of a priest determines the efficacy of grace received from the Sacrament.   A heresy.   The Sacraments are there to help you come closer to God  "thinning" one's pride  one's vanity  one's love of comfort  increasing the intimacy with Jesus Christ.  Reconsider  and don't let pride push you around.,0
117,Remarkable. Blaming Trump takes some doing but here you are.  I would also like to point out that Trump was the fawnee rather than the fawner but your narrative won't allow that. Sad.,0
118,"we're talking about our friends ... family ... neighbors "  Those are the key words  what should guide us  motivate us.  China solved its opium problem at one time  by executing all of the dealers  and all of the addicts.  Execution is still their method of choice  for many crimes  even political dissent.  But I suspect that heavy hands make for heavy hearts.,0
119,"The Liberal MP from Newfoundland and Labrador was appointed to the position in August." I know that it's only November 3  2017 but has Seamus done anything for the veterans to date? Does he have any thoughts about how our veterans should be treated. You must remember that Seamus accompanied Trudeau to the Khan Island for Xmas. I suspect that this appointment in August was not based on anything else except friendship.,0
120,Well by all means! Let's get this one on the books as paid a well! (It's almost every 5 days worked a state employee gets one day off..) The state non employees will pick it up! This is a sad but very real headline. And why the state is broke. Pure Foolishness.,1
121,Gimme some of that damn cake!,1
122,Reminds me of mcquitty desa quitting her hunger strikes. Oh wait we dont discuss facts here,0
123,Your sarcasm does nothing to address a perfectly valid point. They just killed this guy to save time.,0
124,Then I came back and it was incredible. There was no meaning in it here. I mean  the whole thing to them seemed like it's sort of a bus accident. I went to work with Dad and that rat race again.,0
125,At this point in history  there is no scientific evidence that any gods exist. Logic also says that claims made without evidence can also be dismissed without evidence.     Sadly  some people don't ask for proof of these "god's punishment" claims but accept them because someone managed to get themselves called reverend.,0
126,You don't seem to 'get" the fact that Khadr was not represented in that court (he was incarcerated) and his lawyers were not informed. Do you really think she has a case?,0
127,How about let adults take their kids to the mall and spend some time with them and enjoy the spirit of Christmas instead of being accosted with a straight out of central casting cook from Alaska. Can't wait for the next ADN article talking about how he got his ass kicked outside of the Gaslight Bar "preaching" at 3 a.m.,1
128,Good article  but few read the RG.  For enforcement folks  we see that there is a wide degree of latitude in how officers apply the law. Only 17 tickets issued so far indicates to me that of the total infractions  it's a drop in the bucket. And then there are judges  some of whom will reduce the fine for first offense or mitigating circumstances. What would an officer do if someone later injured or killed someone while texting?  I am inclined to issue more tickets and let the judge make the call. For anyone caught lying about it  that is an immediate ticket. These people know. I sent a text to a friend that returned an automated text saying that she was driving and would reply later. That is a great app. Guessing  I'd say half the drivers think it is OK to text at a light. You can see many furtively texting  and some are the ones in front of you that seem to not notice the light. I'd add a few signs at street lights that read: "Distracted driving laws apply while stopped at light.",0
129,We  the American People are never going to get a re-traction or apology about this uneducated rant from the new "Teflon Don" (notice the quotes in case I need to change my terminology later on down the line  aka "wire tapping" is really not about W-I-R-E  T-A-P-P-I-N-G).  Nothing sticks to this guy because he will come out with another wild tweet or say something more outrageous  in the next few days and everyone will forget about this issue.  So sad.  Make America look stupid and foolish again!,1
130,For a Republican  Mr. Crawford sure does seem to love the idea of federal control of Alaska -- its land and its economy. Party of small and limited government  indeed.,0
131,so i think it is communication it's just oopsy,0
132,So what happens when the funds are cut off?  The federal funds go to Hawaii but nothing is said about where it goes to so who knows if the funds are going to where it is needed  where the pacific migrants are using social services.,0
133,There is no disputing that Donald Trump will be president. I'm not saying otherwise. But please quit trying to pretend that if we didn't have the Electoral College  you would be disenfranchised  and your vote wouldn't count. That's nonsense  and you know it. You can't defend what you wrote earlier. That's why you now have to fall back on "What part of "President of The United States" do you find so challenging " instead of making an intelligent argument.,0
134,But I'll bet you'd complain if a car-sitter committed murder in the neighborhood. Why didn't the APD investigate the car-sitter BEFORE he murdered?,0
135,Cry me a river. ALL of you dumb )#@)$*@$@# down in Juneau lacked the spine to call the Governor on the carpet about procedure for this. Go piss up a rope.,1
136,Off comes the sheep's clothing!  Though I must say  Donnie  your clumsy attempts to drag this race into every other topic on these pages had already pretty much spilled the beans.  If Randy Johnson's an "Independent " my nephew must be a monkey.,1
137,Sickened to death by these spoilt millionaire prima donnas and their hateful attitudes....  It's too late to apologize.  Get out of my country  please !,0
138,Another example of fake news in the main stream media? I think so.,0
139,Wake up! Knee-jerk reactions are not adult-like. There are reasons for these decisions that go beyond your instant political black and white thinking.,0
140,The Dalai Lama is fascist.,1
141,Some of the reviews posted on Yelp describe the environment in their shop. If these reports are true  I am surprised they have been allowed to stay in business so long.,0
142,The CPC picked a loser as a leader. Harper 2.0. What is his plan? Throw black men in jail for weed  kiss Trump's ass  pull the plug on grandma?????? What young person is going to volunteer for these the CPC? Their base is older then dirt!!!!,1
143,Huh?  "We don't need to remove lanes for a rail."   But the mayor can certainly remove lanes for bicycles.  Geezh.,0
144,And the shoot goes on  unabated.  Seems to be happening with increasing frequency  too.  Accept it as normal in America.  "They" are not about to let us do a thing about it.  Sad that so-many lives have to be lost and families torn apart  though.,0
145,Very sad statement on human nature  the comments by others across various segments in society.  Appears there are always more corrupt than good people at the top.  Even if these characters face their judgment day  they will still wreak havoc on the organization   honest subordinates  and their careers.  Been there and experienced that in the health field  which like many are sometimes the opposite for what they are supposed to morally stand for.,0
146,"Virtually no chance of a spill since the pipeline is buried 100ft below the riverbed.." The same way there was no chance of a spill at Exxon's Silvertip pipeline which was also buried 100ft below a riverbed (Yellowstone River)? Boy  sometimes that zero chance of a spill can make a mighty mess indeed (2011-63 000 gallons of oil into the river).,0
147,Well  at least he can see his dad more after he is convicted . . .  Piece of garbage . . .,1
148,Correct.  But neither are as bad as they were and racism is NOT the new normal and I hope you have the integrity to admit that.,0
149,Ronin006: After the Trump campaign paid his firm $50 000  Futerfas  a criminal defense attorney best known for representing four of New York's organized crime families  announced that he was representing Fredo. Would paying $50 000 to Futerfas be a legitimate legal expense for the campaign if it's not related to Fredo's Russian meeting? Or are you suggesting that Fredo has other  campaign-related legal troubles that we don't know about yet?,0
150,There is nothing in my comment which attempts to "disprove" Bennett's claim of mistreatment by Las Vegas cops.  In Bennett's initial public statement (not quoted in this article)  he brought up all those anecdotal situations as if they were the same as his.  I simply pointed out I'm not sympathetic to his attempt to tie those together with his situation.,0
151,There appears to be about 30-40% of trumps' voters who are racist fools.  That swung the election for trump.  (I am sure that you did not notice that! *eye roll*),1
152,Anyone know why Bundy senior wasn't arrested in Nevada? I know he and his sons held off the feds at his ranch there  but was he freely coming and going from there? At any rate  another not-so-smart move by the group.,0
153,I'm blessed by your metaphors  and thus by you!  Many thanks,0
154,The dumb one? At Fox? The intellectual equivalent of Dante's Seventh Circle of the Inferno. Not quite the bottom  but close enough for government work.,1
155,That doesn't make any sense. It was Hazelwood  first of all. and He wasn't the captain of this ship. Kind of a knucklehead comment if you ask me. Sounds like you want to drag a man's name through the mud years after a mistake was made. Why don't you go for a walk instead of saying things that are so dumb? :),1
156,If you want to restore to name calling  call me anything you'd like; I'm starting to enjoy how foolish you sound.  :-D,1
157,Come on Phil  you posted the same damn thing in 2013  except you deleted "The NDP are 20 POINTS ahead in the POLSS!!! (sic)  Orange is fading  like wallpaper from the 1970s  and Green is greening. But in 72 hrs  the flag of Red  White & Blue will continue to fly over this province.  Splendor Sine Occasu !,1
158,It's definitely a new thing. I don't mind it myself...I find myself being more conscious of the difference between a "good comment" vs. a comment that "fails the civility test" & find myself rating comments "good" even if I disagree with them when they are civil & especially if they bring up points that I can think about. It makes me feel better about people I disagree with.  I just read an article which mentions Civil Comments & its rationale. The entire article is worth a read: the social impact of uncivil discourse is one thing  but there's also economic & world political implications (among others). I think we're likely to see tech companies roll a lot more products to encourage civility in social media in the coming years.  "Play nice! How the internet is trying to design out toxic behaviour" http://www.theguardian.com/technology/2016/feb/22/play-nice-how-the-internet-is-trying-to-design-out-toxic-behaviour  Have a great night Tom  good talking with you.,0
159,He also had roles in "A Country Practice" and "The Flying Doctors".,0
160,Most of the states with the "lowest taxes" also have the lowest wages  the worst schools  and the highest unemployment rates.,0
161,May all these worthless fuckers drown.,1
162,m:  Lame is inferring guilt when there has not been a legal proceeding.  Contact between a private citizen with a foreign government is different than contact between a government official and a foreign government.  Even you should be able to understand that.  But in the end regardless of one's status the question is whether something was illegal or not.  PS:  Your saying he or anyone violated a law or code with no legal proof is what is truly lame.,0
163,You're ignorant of the facts. The other two commentators proved it.,1
164,Do you want to pack before we go out?,0
165,Freezing for sure-and by her logic Elsie is going to be voting for Trump too!,0
166,Here you go  WarDog0000000 - you might want to read the complete analysis instead of the first few paragraphs:  http://www.politifact.com/truth-o-meter/statements/2016/oct/19/hillary-clinton/hillary-clinton-blames-russia-putin-wikileaks-rele/  To correct your falsehood:  The U.S. Intelligence Community is made up of 17 agencies  forming the basis of Clinton’s claim.  The 17 agencies are: Air Force Intelligence  Army Intelligence  Central Intelligence Agency  Coast Guard Intelligence  Defense Intelligence Agency  Energy Department  Homeland Security Department  State Department  Treasury Department  Drug Enforcement Administration  Federal Bureau of Investigation  Marine Corps Intelligence  National Geospatial Intelligence Agency  National Reconnaissance Office  National Security Agency  Navy Intelligence and the Office of the Director,0
167,A single payer public option would provide price competition for private insurance.,0
168,Clinton is a crook. But she's OUR crook.,1
169,Typical Liberal spin and double-talk.  Jr. gets twice as many selfie and photo ops if they announce the spending of the same money twice  doesn't he?  When will the public wake up and recognise Trudeau for the lightweight incompetent he is?,1
170,We are not so stupid as to believe you that this has nothing to do with hunting practices although one could argue that predator control is not hunting. The agency rule that was overturned banned certain predator control practices - baiting brown bear  shooting bear from an airplane or same day airborne and killing wolves during denning season or bears with cubs and specified.   And these are federal lands -  National Wildlife Refuges that have different purposes than the state's purpose of "sustained yield".  The purposes for National Wildlife Refuges are established by Congress not the State of Alaska no matter how much you might wish it so.,0
171," In other words  she’s not suffering from dementia".  Just for the record I'm not voting for Trump or Hillary the Sociopathic Liar  but I do sincerely  hope Ginsburg doesn't have dementia. Because when Trump most likely does become President I want her to remember and keep her promise to move out of the USA.,1
172,I am backing the PM on this issue.  After all  no one worked harder for his money than he did. Accordingly  if he says he is standing up for the little guy who is the elitist Mr. Sheer to challenge this?  Thank you thank you  PM  for taking on the bad bad millionaires and billionaires on behalf of the ordinary Joe!,0
173,Your theory presumes that the Russians would be willing to admit that they hacked the DNC  thereby effectively admitting they attempted to influence the US election.  The Russians insist they were not involved.  Publishing the hacked data on a party network would make it pretty clear they WERE involved.  As for Wikileaks  transferring the data through a third party intermediary isn't exactly the most complex concept to grasp.  I'm not sure why you don't understand it.    Finally  just for the record  the fact that you fail to grasp something does not necessarily make it a fabrication.  Your understanding is not relevant to the accuracy of the news.,0
174,I live next to a meth head. One of the 'cleaner' variety. He likes to do yard work at all hours of the day. He cut down all the trees on his property  put all the rocks into a neat pile  bangs on things all day and all night long  plays annoying loud tweaker music (DUM DUM DUM DUM DUM DUM DUM) all day and all night  has his tweaker friends over shouting incoherently at each other all night - specially during welfare payment week.  I wonder if he would be interested in trying some of this new stuff?,0
175,Well done. I see hints of what we were half a century ago when Lester pearson showed us that Canada could make a difference in other lives.,0
