id,text,label,predicted
527,Know what this is all about?  Trump is their scapegoat.  Their voodoo doll.  Their last offering to the gods in their last god-forsaken bid for ultimate power.  And their collective time is so very short  it is driving them absolutely demoniacally brain-crazed mad.  They pile on him all the reflections of their own iniquities because the mirror reveals too much truth every morning.  And they can't believe their impotence built into the Constitution.  So they bark at the moon.,0,1
531,WTF? Name that mofo who's trying to pick up 12 year old girls. Post his photo. I don't care if it's not a crime to write letters to 12 year old girls inviting them over. It's also not a crime for a newspaper to do their research to inform the public.,0,1
599,ADN is actively removing anti-trump comments here.  Typical right wing censorship to protect their criminal candidate.,1,0
611,I'm too hot - Hot both: Hot damn Call the police and the fireman I'm too hot - Hot damn both: Make a dragon want to retire  man - Too hot - Hot damn both: Say my name  you know who I am,0,1
612,Congratulations. You have single handedly cast all Americans out  ruined their careers  financial status  and healthcare and you have ruined so many lives of future Americans. it would take more than 20 years to undo what you have done. You sir should be exiled out of America and all your sitting democrats!,1,0
626,How can you support Gubb for his inappropriate behaviour? Are you out of your mind or what??,1,0
637,He doesn't sound like a valuable asset to me  he sounds like a whiner.,0,1
644,"Wente makes a small point  but then spoils it with her bizarre political insights. She figures that T rump may not actually be half bad. She doesn't mention that he is a dirty climate change Denier. Wente is probably one too. She admires the virile masculinity of Rex Tillerson  who makes John Kerry look like a ""eunuch"". Earth to Wente: you're supposed to be talking politics here  not who you are attracted to. She thinks he doesn't hate blacks or Mexicans. She ignores that his promised actions will actually hurt millions of Mexicans. I guess Wente has it figured out that actions don't count  but only intentions.  As for Hitler  Wente doesn't get that NOBODY is saying he is identical to Hitler; but rather that he espouses many of the same fascist beliefs and has many similarities.   My firm belief is that 9 out of 10 wente columns are terrible. This is one of the 9.",0,1
663,Thought we were supposed to hate russia,1,0
666,Which sewer do you live in  Stewart?,1,0
674,His followers = Traitors of this country,0,1
677,Someone needs to knock these hairy doner kabab maestros back into line.,0,1
696,This is the ultimate results when people are allowed to violate law. There are people today doing exactly what her mother did years ago. To this day there are illegal aliens bringing they children who are also in the country illegally into the country with the sole purpose of stay here illegally. In five or tens years we will hear another sad story just like this one. Why is that? Because our country won't enforced our nation's duly passed immigration laws. Disgusting!,0,1
737,"Labour rights are not human or natural rights but civil rights.   Jeremy Bentham called natural rights ""nonsense on stilts."" That's because rights depend on a system of law  which is artificially human not natural.  So I'm not sure you can ask a country to change its laws because of a trade deal by appealing to ""nonsense on stilts.""",1,0
788,Joe Biden FORGETS HE HAS A FULL DIAPER AND…  Joe Biden said he would be a president who under-promised and over-delivered.  Bullshite.   The nearly 90 year old man over-promised and under-delivered   The Biden White House is failing in a very public way to nail down a nearly $3 trillion domestic package that the forgetful “president” has framed as a historic investment in infrastructure and social spending  the moment is clouded by a sense among many democrats that the scaled back package falls far short of the lofty expectations set by the president himself.,1,0
825,"There are serious potential causes behind Trump's behaviour - here's just one.   Trump has taken Propecia (finasteride) - to help prevent male pattern baldness - for many years  according to a report released by his doctor. The side effects of this drug are legion  and serious. The term post-finasteride syndrome (PFS) has been coined and hundreds of lawsuits have been brought in regard to its sexual side effects  (shrinking penis  poor sexual function) and the drug's effects on cognition  mood and mental states have been documented in the scientific literature. Many users noted a ""disconnection between the mental and physical aspects of sexual function "" and changes in mental abilities  sleeping patterns  and/or depressive symptoms. Sound familiar?  Trump must be particularly insecure to take this drug. Not a good quality in a world leader with the means to kill billions at his fingertips. For those interested see ... http://onlinelibrary.wiley.com/doi/10.1111/jsm.12269/abstract",0,1
839,The Seahawks defense seemed to run out of focus and energy in the second half perhaps because they wasted so much concentration on their pre-game issues. The players need to only focus on their jobs  not politics! A bunch of crybaby millionaires so easily distracted...,1,0
873,So cut the bloody defense budget! Not people's health. And close the sort of tax loopholes that allowed The Donald to have $150 income and pay hardly any taxes on it.  That's the problem with you conservatives -- you don't give a damn about the American people (except for the rich).,0,1
892,Science has shown cancer has a solid link to fructose. It’s the one thing our body doesn’t really need. It gets metabolized in our liver and coats it in fat.  When fructose is fed to cancer cells  it causes them to divide and multiply rapidly. Fructose is in nearly every damn food you can pull off the shelf  and it’s usually in the form of high fructose corn syrup.  Next time you're in a store  look at a label. Look under carbs to see if it has sugar in it. If it does  it’s high fructose corn syrup  and nearly everything food out there has it.  That is the culprit  and the only way you’ll avoid it is by sticking to a diet in red meat  chicken  fish  veggies  nuts and seeds  with fruit sparingly. Which is basically what our ancestors did.  There is a reason why Japan is so low on the list in cancer yet have long lives; their traditional diets are basically absent of fructose.,0,1
900,Better to borrow  better to beg  better to die!,0,1
953,Your behavior is embarrassing; go learn the art of social intercourse!,1,0
970,i don't either i was i almost hung up because i thought well gosh i don't i don't really have an opinion except for no i think that's dumb,1,0
989,Yeah right dude a fat doobie burned down the marco polo.,0,1
1002,What a bunch of whiny wimps. The high fructose genocide is real. Dr. pep and Pringles are more popular than moose meat out there.,0,1
1027,He really was a traitor  and his craven behaviour led to the harming of good American soldiers.  Hate Trump all you want  but this man does not deserve anything but prison (or to have been left with the Taliban).,0,1
1035,And the Alabama right-wingers still plan to vote for a pedophile! The right has given up all claim to morality when they put up with people such as Trump and Moore.,0,1
1044,Stalin may well have been mad but he was not stupid.,0,1
1087,China is basically toxic to this earth  from the above fallacies strewn inside this article  to an incredible array of atrocities brought forth on the environment  people  innocent animals  ect ect.  THe list is neverending.  I dont know who to blame......the government  the people  the genetic makeup of this strain of home sapien.  I just dont know.  LIke someone preciently mentioned a few weeks ago.....the CHinese are like the Borg  consuming everything in their way with  their prime directive beingworld assimilation.  And our glorious JT just holds out more welcoming mats.,1,0
1094,And you've got to protect yourself from nuts.,0,1
1133,The lefties are just so upset  10 feet of rain out here on the coast and they waste their time on climate change. How about you cry babies pick up all the garbage that the illegals are throwing all over.,0,1
1156,The next person who gets killed should be skinned and the meat salvaged for charity. That will make everything ok.,1,0
1157,Oh  thank you  dear. The same applies to you except that if I catch so much as looking at another woman  I'll kill you.,1,0
1159,His rubbish was taken away in the dustcart,1,0
1176,So all the preaching  in the mosque about extermination of Jews doesn't bother him?,1,0
1179,Not only were the wards thus needlessly crammed  and for no reason but the niggardliness of the corporation which refused a proper supply of bedding,1,0
1196,How can people do that?...  Oh  you guys  look! Ugly Naked Guy got gravity boots!,1,0
1224,I like lots of sex...  I don' really want that on my passport.,1,0
1230,Such good news for George and Anal.,0,1
1258,The atomic monkey's leaving fallout all over the complex. Spank that monkey!,0,1
1305,So the trumpery in Homer has it in to make damn sure there's not going to be any call for equal protections for all races  types  and persuasions     and you can't figure out why those few minorities in your 'fair' town didn't jump at the chance to put themselves in your angry crosshairs.  Who'd a thunk it?  Right?  Jeebus.,0,1
1329,You're right about that! I've never changed my mind because someone harangued me or told me I was stupid. Not many people have  I imagine.,1,0
1339,"Of course some baseless nonsense like this would be from Eugene. How embarrassing. People are so dead set on vilifying Trump while everyone else from all parts of the political spectrum realize the clear and dangerous reality that Hillary Clinton could be our next president. I'll take a democratically elected nominee over Clinton. Thanks anyway for your emperor ""literally Hitler"" gibberish.",0,1
1346,Blow is a hate monger. Brain poison. My first and last time reading him. I've never really seen any conservatives rioting in the streets and destroying things. I guess they must keep all their anger pent up eh James?,0,1
1381,' Ryan Zinke's Terrible  Horrible  No Good  Very Bad Morning . https://storify.com/dpogreba/ryan-zinke-s-terrible-horrible-no-good-very-bad-mo . . How to resist Trump  …something for everybody   …practical actions everyone can join in on.  Complete and comprehensive manual available here: https://docs.google.com/document/d/1DzOz3Y6D8g_MNXHNMJYAz1b41_cn535aU5UsN7Lj8X8/preview#,0,1
1392,That is great humor   Muck,0,1
1405,Zille ruining it for DA really! She must just shut!,0,1
1462,"An important word to understanding the relationship between Mr. Trump and those around him is sycophant.    Sycophant | Definition of Sycophant by Merriam-Webster www.merriam-webster.com/dictionary/sycophant Merriam‑Webster parasite  sycophant  toady  leech  sponge mean a usually obsequious flatterer or self-seeker. parasite applies to one who clings to a person of wealth  power  or influence or is useless to society <a jet-setter with an entourage of parasites>.  A man as egocentric as Trump surrounds himself with sycophants....I might use the term ""#@$kissers"".  It's not unusual  most politicians  entertainers and athletes have them hovering around them.  Billie Bush was  in my opinion  an ""$#@#kissing punk"".  A man like Trump needs the validation of such people to bolster his self-concept.  If the people around him would  instead  confront  him about his obscene  boorish behavior  perhaps he'd change.  More likely  he'd just find new sycophants to have around him.....very sad",0,1
1507,like i kind of sound like i might have a penis,1,0
1515,that i'm against it they should just give them life in prison,1,0
1519,I recently had two back molars pulled  $1000...... disgusting..,0,1
1529,""" Maybe a victim of a child porn will murder you...What would you think about that?"" Being dead  probably nothing.",1,0
1554,tie them with a rope and throw them in the water if they sink [laughter] they're innocent right [laughter],1,0
1566,Say goodbye to a bunch of jobs here in the Spokane area! I love the idea of filing for bankruptcy! Thank god that we have a bunch of idiots that signed the petition. They all must be god fearing! Only in this case  like so many other cases   God won't provide anything for my family or anyone else in the end. Never has happened yet. We had to work hard for what we got.   Both of us broke our bodies to the point that we can't work anymore and are on disability. We only make the equivalent of $6.86 an hour and you have the ordasity to bitch that you cant live on $9.47 an hour?? You say that I should just go out and get a part time job? Don't you remember what I said? We are not physically able to and it's illegal for us to work and get disability at the same time. It's all going to be taken away. Thanks King county!!!!  I would go to the liquor store and take up drinking  but once again thanks to King county  I can't do that either because they voted for us to raise the booze prices 50%..,0,1
1577,Kakistocracy is a term meaning a state or country run by the worst  least qualified  or most unscrupulous citizens. . The word comes from the Greek words kakistos (κάκιστος; worst) and kratos (κράτος; rule)  with a literal meaning of government by the worst people.,1,0
1587,These two bimbos need a job,0,1
1625,"In think let Biko also know that his sons Andile Mngxitama and BLF are obnoxious racists and antisemites who makes fun of the Holocaust and how Jews were ""turned into soap"" by the Nazis. But would you expect of an intrinsically and explicitly racist ideology.",0,1
1646,Builders/developers  realty agents and lawyers are the most greedy animal on our planet earth. NEVER trust them !!!!,0,1
1673,Fascists like Trump need to be eliminated from public life  but how many of these people were protesting the past 8 years when Barack Obama created the refugees in the first place? Quit electing imperialists.,1,0
1734,you always just well i don't know like i had an old friend who use to read cosmopolitan all the time and i thought it was the most ridiculous magazine but it was just so interesting to find out i don't know about the culture of people who read cosmopolitan you know,1,0
1770,I expect you to die.,0,1
1879,How Christian of you  wanting to defend rapists.,0,1
1887,"""be an American again?""  You mean acting like our ***** grabbin'  lying president?   No  thanks.",0,1
1895,he said you know he said i'm not calling him stupid or slow he just he said he did really didn't want to study and he goes and you know he leaned over to my husband and he said well you know so and so he said when you have them if you get one what you'll understand is you'll just be glad if they don't you don't get a call from the police,0,1
1912,oh look  a bunch of fakers pretending they have a cause. move along folks  nothing but a bunch of overgrown babies who escaped from mommy basement.,0,1
2058,There has never been a civilization in human history that did not rely on taxation. You are a fraud. You avail yourself of all the benefits and prerogatives of living in a society but pretend you are self-made. If your life experiences catastrophic failure  you will seek help wherever you can get it  including public assistance.,1,0
2072,They have released two albums  ...and the hell with it!,1,0
2074,Boo hoo Dick!,0,1
2089,When Trump whines he is just lying through his teeth.  He  talks to the public as though he were hawking steaks on TV.  A deadbeat loser who stiffs vendors  and goes belly up many  times.  Wish he had some ethics to take care of those that trusted him with their money.  Has a history of taking money and then forgetting about his small investors.,0,1
2135,Why do you hate gay people?,0,1
2192,I should like to help everyone - if possible - Jew  Gentile - black man ��� white.,0,1
2264,"This is getting silly: ""White House aides said that Trump will have signed 32 executive orders by Friday  the most of any president in their first 100 days since World War II.""  And yet: ""The country wasn't based on executive orders "" said Trump at a town hall in South Carolina in February 2016. ""Right now  Obama goes around signing executive orders. He can't even get along with the Democrats  and he goes around signing all these executive orders. It's a basic disaster. You can't do it.""  Face it  the guys accomplished NOTHING.  No matter how much spin you put on it.",0,1
2271,"Your right as rain Boots... those evil republicans want to poison the water  pollute the air  push grandmas wheelchair over a cliff  don't care about the future of even their own children  are against ""FREE"" college education  take away our social security  cancel our medicare  feed dog food to the elderly  etc. etc. etc.   ( Note: According to my HS English teacher ""etc"" means... and more useless  insignificant things I can't think of at the moment)  LOL.  LOL.  LOL. :)",0,1
2293,"Look at the usual ""hotelier"" talking head suspects (washed up politicians) and you KNOW they are full of CRAP. Add to that the part-time mayor's penchant for using ""hoteliers"" to support himself (Maxie the clueless police commission head  for one) and you just KNOW there's filth under the surface.  Crapwell's arrogance and hubris have now been aired (more) publicly and the People of HNL need to REALIZE he needs TO GO. After this term is up (or before  wishfully) he needs to retire to his tax exempt ""historical"" home and never hold public office again. As a matter of fact  I can almost safely bet he'll end up with some overpaid tourist industry or ""hotelier"" job as a form of payback for his years of kow-towing.",0,1
2294,Look  the seam is now broken  it couldn't stand the jerk.,0,1
2310,YeIIow AIiens,1,0
2343,He's nuts about you.,0,1
2402,"Dear God.  I've been listening to the same ""long-term fiscal plan"" mantra since I moved to the state more than 30 years ago.  It's never happened  and it ain't ever gonna happen. Why?  Because Alaska's a corrupt petro-state.  Since the 1960s it's always gone with the easy money  and that's given it opportunistic  mendacious  and frequently idiotic  politicians.   These aren't people who solve public problems  they're gambling addicts playing with other people's money.  They literally don't know how to conceive of the common good.  Soon  the money will be gone  and then we'll be a broke  corrupt petro-state.  So it goes.",0,1
2447,Mary Dawson is a Harper appointee who let the ghastly  Harperites off the hook on a regular basis without all this pearl clutching that we're subjected to from said Harperites these days when they re annoyed that she doesn't join them in their never ending gotcha nonsense.,0,1
2450,your not worth my time,0,1
2457, I think whoever did this must be sick and twisted and really doesn't deserve to be making movies  and if I could I'd put an end to it,0,1
2480,Memo to WaPo:  You have just won the dubious award for most moronic headline of the decade.,0,1
2536,"""The US is not a land of the free and never has been""  Certainly not for USA-bashing Trump hating lefties...",1,0
2564,Obviously  Karl Pinheadstein was in a coma during the Kenyan-Indonesian Muslim's usurpation of the Oval Office.,0,1
2617,Ur weird.,1,0
2618,She was quite excited  and quite gay.,0,1
2625,The Donald is the laziest president ever.  He is trying to out golf Eisenhowr.  lol  This is just a poor rich boy living off the rest of us.  Hay phony conservatives why were you so quick to condemn Obama for his golf but are willing to give the Donald a pass for his?  Consistency has never been high for phony conservatives. :-),1,0
2695,Limited seating my ass. Let���s see who made the cut.  Hi!,0,1
2729,You gotta be kidding me?  You're a big deal that you can trash dead people. You must be a real big man. Hahahah.,0,1
2731,"Levant is a carnival barker  not to be taken seriously. He was interviewed recently and the only things that came out of his mouth were"" ""But I'm Jewish! You're a better Jew than I am! Prove racism!"". He's essentially a child when arguing  no one should engage him that wants to be taken seriously.",0,1
2757,true..he is a joke.  Fox serves the rich by manipulating poor whites who always can be counted on to vote against their own interests.,0,1
2761,Sens fans arrogance is biting them! HAHAHA!,0,1
2777,That explains all those Jews getting put to death in Israel for cursing their parents.../s,0,1
2791,"Did you ever notice that snowflakes can't handle the truth. Instead of challenging a comment they hide behind anonymity and delete comments that they don't like or can't handle outside the confines of their safe space.  The ridiculous ""Among abstracts expressing a position on AGW  97.1% endorsed the consensus position that humans are causing global warming"" math calculation is based on a ""32.6% endorsed AGW"" subset.  John Cook can't get any dumber than that unless of course you are one of his religious followers.",0,1
2793,End of the road. BK time to hang it up. Enough already.,1,0
2810,You should know when to shutup,0,1
2824,The same applies to you too  except you so much as look at another women I'll kill you.,0,1
2887,Dam right.  Also they are easy to  tell apart as beaver have their big flat  (noisy)  tails and nutria skinny rat tails.  And  while nutria will graze on grass  beaver  as is well known  chop down trees and chew the bark.  And they are so  darn cute we love 'em even if they are the OSU symbol.,0,1
2924,Sexual predator?  Do you know something the police in Wyoming don't know?  I doubt it.  You are guilty of slander.  You should be ashamed.,0,1
3058,Nothing should bring the USA together more than stomping the crud out of fascists.  You are not welcome in the USA fascists. This is what we think of fascism: https://www.youtube.com/watch?v=1CYTcQUKTVY,0,1
3074,"The legislature. Maybe you need to pay attention more? If we are *only* counting children and elderly  highly doubt we'd be even close to 30%. There are some young  able-bodied people mooching off the system  I see it everyday. And to say I have hatred is quite an assumption Alaskan Fish. I never said I hated anyone  simply annoying and frustrated to be part of the working class that is constantly asked to give more while seeing the abuse of people who figure out the system and don't better themselves to not need it  they take the easy way and hang on for every dollar they can get for as long as they can. The ""parasites"" you called *are* the problem  as they are using a majority of the services that are the most expensive expenditures in the budget.",1,0
3078,I wonder if he cups his nipples?,1,0
3094,You won't answer huh? That makes me the troll? Okey dokey.,0,1
3095,Yes  a bankrupt party.  No ideas  no values.  No nothing except tax cuts for the rich.  Pathetic,0,1
3159,You are correct  ever since they started letting female reporters into the male locker room after a game  men are smart enough to shut up.,0,1
3199,McGee you're wrong as usual. My current account  is restricted because of people who can't stand it when someone has an oppositional view. Meanwhile people like U whose politics/philosophy fit in line with the thrust of G&M get away with insulting people  apparently freely. And yes  you have McGee: directly labelled people stupid... In the meantime I've NEVER directly insulted any commentator here since I feel it undermines my argument  and yet I'm banned: not for insults like yours  but for trenchant and by any intelligent free-society standard 'civil' comments  that happen to fly in the face of 'SUNNY WAYS' narratives espoused by 'L'eftist media. Haha! what a sick joke. I'm just going to be creating a new account and spreading the 'truth' as I know it to be  no matter how many times I get BANNED and no matter how many children pretending to be adults come at me with their capricious petulant vindictiveness: you children are about narcissism. I am about enlightenment. Leah McLaren???,0,1
3201,Come  together?   Sure   when  the  likes  of  the  DP  stops  the  lies  and  hate  being  spewed  about  Trump   the  Russians  and  republicans.,1,0
3221,Flew in to do a quick dick for JT  then fly back to the USA for their concert tonight.  They bought a tree to make up for the C02 produced by their private plane.,1,0
3229,Surprised Don didn't pull a gun out.  Slipping in his old age.  He can still bring the pork!!,1,0
3230,lets see you go out and slap it with your purse mamma's boy.,1,0
3238,Support the election of even more Democrats without question or I will spew every liberal insult and cliche imaginable.  The streets will flow with the blood of nonbelievers!!,1,0
3277,Now the poor suckers who voted for Trump expecting 'jobs  jobs  jobs' discover that the jobs will be low-paying  part time non-unionized jobs.,1,0
3282,bullcrap!,1,0
3286,Walter  better change up you smoke.  Dude you are dude-lusional.,1,0
3311,Another stride in the Liberals' long march to mediocrity.,0,1
3329,just the annihilation of other countries.  Oh. Like the Orange Lunatic? Just just another Kim wannabe  with worse hair and more liverspots.,0,1
3364,A big Nothingburger. Trump and the Republicans  having accomplished nothing except to destroy the USA are getting increasingly desperate.   Do you honestly believe the facts of this non story werent investigated in depth by every reporter in the country back in 2010?    There is nothing here but a diversion for the Republicans who with Trump imploding and destroying his presidency and the country more and more everyday  need to deceive and distract Americans while they jam their tax cut for the rich through using reconciliation trickery. Dirty Scum.   Mueller is closing in on Dotard Donny Fraud.,0,1
3371,"CR>  Who's insulting who  by chance????  I'm not insulting you at all by calling you a Nazi and a traitor  because that's what you truly are.  I know you profess to not be affected by any of my comments  they aren't for your benefit to begin with.  To the benefit of the others on this post  you have already admitted to promoting ""civil dissent.""  You are a really bad person.  You will feel the effects of your evil doings and they will all come to you naturally!!!!  Sayonara  Mr. CR!!!!",1,0
3376,You're right!  They barely covered the leftie wacko who shot the congressman and others in Virginia ...,0,1
3380,"(cont.) 6) Americans value President Trump because he tries to keep his campaign promises regarding immigration  the military  Obamacare  and tax reform.  The dysfunctional Congress often makes his job impossible  but Americans do not ""measure his success by howls.""  7) Mexico and Canada are not run by fascist  racist totalitarian despots as NK is. The analogy is breathtakingly ignorant.  8) One of the tenets of fascism is autarky;  NK's Juche  system has made them somewhat independent of China.  9) Both NK and China are criminal regimes which depend upon money laundering  cybercrime  illegal weapons & drug sales human trafficking and slave labor for their economies.  Their relationship is one of criminal symbiosis.  As such China has no reason to control NK.  10) NK threatened to launch missiles close to Guam. President Trump's ""Fire & Fury"" remarks stopped them from doing so. The tone clearly was right  not ""wrong.""  11) China cannot enforce UN resolutions and sanctions with NK. (con",0,1
3407,Your so-called sedative only exacerbates the pain.,1,0
3429,If it comes out of one's personal residence's tap it's one's personal water. You fluoride fascists never give up  do you? If you REALLY believed your propaganda you'd accept that the majority of voters in this election chose NOT to have fluoride added to their water and move on to advocating providing fluoridated toothpaste to kids at school  with toothbrushes and floss  and time/instruction to use them to create habits they'd take home with them. This would do more to prevent dental decay than simple fluoride in our water  but you're more interested in profiting from fluoridation schemes than in kids dental health. You are just plain evil  and it's clear to see your hypocrisy. Now scurry back under your rock into the muck from which you arose. Your lies and deceit have been exposed and rejected here. Move on in search of other suckers  Slott. You don't care about kids teeth -- you're just here for the money.,0,1
3443,"A ""Lesbians not welcome here"" sign would not be illegal. Then if they patronize  give them lousy service. A baker  for instance could reluctantly bake a wedding cake for lesbians and accidentally spill a cup of cayenne pepper in the mix. The bigger question is  why would lesbians patronize a business where their deviant lifechoice is reviled? They're just asking for a loogie on their cheeseburgers.",0,1
3452,The infrastructure for nearly every public school building in Portland has been crumbling and deteriorating since I was in highschool in the early 90's.  This shouldn't come as a surprise.    What is surprising is that the dipshits at PPS board never budget for maintenance outside of very basic handyman shit.  Yet the taxpayers are going to have to swallow yet another massive TAX increase to pay for everything.  I am so fucking sick at the level of ineptitude and outright shortsightedness of anyone in a position of public power  these days.  When does it stop?  Where is the integrity?  Where are all the values I was force-fed as a child?  You know... Honesty  taking accountability for your actions and mistakes  standing up to bully's  speaking truth to power...?  It's all gone.  I don't even recognize my country  let alone my own city  anymore.,0,1
3507,"He is a curer of stupidity in man  mentioned in ""Bereshith Rabba"".",0,1
3511,Hilary LOST because No one liked her She was clearly out only for herself.   Ask pal Donna b?! She was maybe the worst  no Secomd worst  no I think little bernie counts  so third worst candidate in years! She lost and it’s about HER manipulative  greedy  ugly persona  Figure this out and you’ll finally be a grown up,0,1
3514,Comey will hang himself now.,1,0
3527,We don't need to give the rich ANOTHER tax break.  Are you one of the wealthy leeches who wants MORE and are willing to take a person's health care to do it?,0,1
3533,Only a nutjob would brag about wasting his vote.  Congrats.,0,1
3559,as long as you puke on yourself nobody will care one way or the other,0,1
3597,"""Do you understand what the term ""easy target"" means? It basically means assigning blame to someone who really isn't responsible for the situation.""  Some easy targets are hapless victims and some are just asking for it. Trump painted a big  fat bullseye on his forehead by his frequent and foolish denials of climate change science.",0,1
3647,A true American would feel no guilt about executing a convicted traitor. A true American would revel in the opportunity.,1,0
3683,Wavemaker  Nick  mukamuk   and other Hillary supporters I have a question for you. Q: What to you get when you polish a turd? A: A shinny turd.,1,0
3735,"Actually  this was for you.  http://fortune.com/2016/01/12/solar-jobs-boom/  Strong words there  Sil.    ""Outlaw fossil fuels""!  Horrors!  That WOULD be a bad move.  Who's doing that?  Lower the standard of living in the USA?  Pshaw!  Now who would let a durn fool thing like that happen?  Certainly not a physicist!  I can Google the consumer Pricee Index and the COLA stats etc. or you can do it yourself.  Where do you think all the homeless are coming from now  Sil?  Hey  maybe they DID all used to work in extraction industries.  Maybe they used to pick cotton.  Darn that Eli Whitney to heck!  You can't just look at one thing  Sil  or that man behind the curtain's gonna pull a fast one on ya.  Heck  he's gonna do it anyhow.  Still  time to revisit the parable of the Seven Blind Men and the Elephant.",0,1
3748,Unconscionable! How can anyone continue to support this sad sick travesty of a man? Shame on you Paul Jenkins,0,1
3806,Yes  it meant western Europeans that are Christian! Stop the lame propaganda!,0,1
3814,"IRT ""Trump needs to be responsible adult"" Since Trump doesn't think to eradicate all native Koreans  just those living up North  then it wouldn't really be genocide.  Native Koreans and indigenous culture would yet thrive.  It would be just one spoiled brat fighting with another spoiled brat.  As long as we're kept fine with plenty of buy-me-drinkee and kim chee here in Hawaii  we should be okay.",0,1
3817,That is a darn good question? I have heard some stories about one of them threatening their neighbors with a weapon. But I was only told about it from the neighbors I didnt see it myself,1,0
3818,uh tort- torture children and then murder i mean you know and then they're they eventually kill them,1,0
3829,let me know when you become a burden..i'd love to pull the trigger for you.,1,0
3834, You know  they just did all this stupid stuff,1,0
3854,"Let me guess  you would have been fired if the union had not protected you from your incompetence ?  It has been my experience in the two unions I had belonged to that they protect those that should have been fired long ago. Aryan Rand preached "" freedom""  & "" personnel responsibility""  two things union thugs hate.",1,0
3858,Hillary flamed tRump's rump several times throughout the debate.  I loved it when she zinged the comment about tRump's crocodile tears.  Haha!  Yeah  we all know tRump's loss will be unprecedented and nasty  but his narcissistic ego won't be able to support the overload of defeat.  tRump will finish his so-called campaign on the same note he started on:  headline porn.  Change the subject and try to throw the kitchen sink and see what sticks.  I have great faith that rational voters will come to grips and dump tRump.,0,1
3873,"It looks like it is basically Chinese for ""libtard"".  What's your point?",0,1
3884,Well now Murray can simply go for the bisexual vote too. After all  he likes men AND boys.,1,0
3908,. Nothing with Bannon is a minor issue.  He's a major train wreck.,0,1
3944,Cowboys have won one playoff game in what?  38 years?  Texas sure loves a loser!,0,1
